"fw","neg","pos","p","source","chargeDensity","phii","U:0","U:1","U:2","force:0","force:1","force:2","elec:0","elec:1","elec:2","Points:0","Points:1","Points:2"
4.4061,0.000128309,0.00099856,-7.59375e-06,0.00153299,0.000870251,24.952,-0.000497512,-0.000899583,0,-0.000182221,-0.0580968,0,-315.599,-97234.5,0,0.0035,0.00025,0.00125
4.59647,0,0.00101471,1.66697e-06,0.00190603,0.00101471,0,0,0,0,-0.000106068,-0.0636546,0,-166.848,-100131,0,0.00375,0,0.00125
4.41689,0.000128235,0.000999523,-7.53344e-06,0.00153735,0.000871286,25.0329,-0.00053423,-0.000900216,0,-0.000191289,-0.0583575,0,-330.901,-97555.4,0,0.00375,0.00025,0.00125
4.6081,0,0.00101569,1.78746e-06,0.00191085,0.00101569,0,0,0,0,-0.000110756,-0.063941,0,-174.029,-100470,0,0.004,0,0.00125
4.42818,0.000128159,0.00100049,-7.46524e-06,0.00154192,0.00087233,25.1175,-0.000570697,-0.000901083,0,-0.000199831,-0.0586281,0,-345.252,-97891.2,0,0.004,0.00025,0.00125
4.62021,0,0.00101667,1.91825e-06,0.00191587,0.00101667,0,0,0,0,-0.000115132,-0.0642369,0,-180.702,-100822,0,0.00425,0,0.00125
4.43996,0.000128083,0.00100146,-7.38818e-06,0.0015467,0.000873374,25.2055,-0.000606754,-0.000902212,0,-0.000207815,-0.0589075,0,-358.606,-98240.8,0,0.00425,0.00025,0.00125
4.63278,0,0.00101765,2.06017e-06,0.00192108,0.00101765,0,0,0,0,-0.000119181,-0.0645415,0,-186.848,-101187,0,0.0045,0,0.00125
4.45218,0.000128005,0.00100242,-7.30122e-06,0.00155166,0.000874415,25.2967,-0.000642203,-0.000903632,0,-0.000215211,-0.0591949,0,-370.915,-98603.2,0,0.0045,0.00025,0.00125
4.64575,0,0.00101863,2.21408e-06,0.00192646,0.00101863,0,0,0,0,-0.000122885,-0.064854,0,-192.441,-101564,0,0.00475,0,0.00125
4.46481,0.000127928,0.00100338,-7.20331e-06,0.00155679,0.000875448,25.3909,-0.000676815,-0.000905372,0,-0.000221986,-0.0594895,0,-382.132,-98977.6,0,0.00475,0.00025,0.00125
4.6591,0,0.0010196,2.38081e-06,0.00193201,0.0010196,0,0,0,0,-0.000126225,-0.0651731,0,-197.454,-101951,0,0.005,0,0.00125
4.47781,0.000127851,0.00100432,-7.09339e-06,0.00156209,0.00087647,25.4878,-0.000710328,-0.000907467,0,-0.000228107,-0.0597902,0,-392.2,-99362.5,0,0.005,0.00025,0.00125
4.67279,0,0.00102056,2.56115e-06,0.00193768,0.00102056,0,0,0,0,-0.000129183,-0.0654982,0,-201.861,-102348,0,0.00525,0,0.00125
4.49115,0.000127775,0.00100525,-6.97045e-06,0.00156752,0.000877477,25.587,-0.000742455,-0.000909944,0,-0.000233536,-0.0600962,0,-401.065,-99757.1,0,0.00525,0.00025,0.00125
4.68678,0,0.0010215,2.75577e-06,0.00194347,0.0010215,0,0,0,0,-0.000131736,-0.065828,0,-205.632,-102754,0,0.0055,0,0.00125
4.50478,0.0001277,0.00100617,-6.83359e-06,0.00157308,0.000878467,25.6884,-0.000772887,-0.000912829,0,-0.000238235,-0.0604066,0,-408.666,-100160,0,0.0055,0.00025,0.00125
4.70101,0,0.00102243,2.96523e-06,0.00194938,0.00102243,0,0,0,0,-0.000133864,-0.0661618,0,-208.732,-103166,0,0.00575,0,0.00125
4.51866,0.000127627,0.00100707,-6.68203e-06,0.00157874,0.000879437,25.7914,-0.000801301,-0.000916145,0,-0.000242162,-0.0607205,0,-414.936,-100570,0,0.00575,0.00025,0.00125
4.71546,0,0.00102334,3.18993e-06,0.00195537,0.00102334,0,0,0,0,-0.000135542,-0.0664984,0,-211.13,-103583,0,0.006,0,0.00125
4.53275,0.000127556,0.00100794,-6.51511e-06,0.0015845,0.000880384,25.8958,-0.000827377,-0.000919903,0,-0.000245274,-0.0610367,0,-419.811,-100986,0,0.006,0.00025,0.00125
4.73005,0,0.00102422,3.43007e-06,0.00196142,0.00102422,0,0,0,0,-0.000136746,-0.0668365,0,-212.792,-104005,0,0.00625,0,0.00125
4.54701,0.000127487,0.00100879,-6.33234e-06,0.00159032,0.000881304,26.0013,-0.000850803,-0.000924106,0,-0.000247529,-0.0613541,0,-423.224,-101406,0,0.00625,0.00025,0.00125
4.74475,0,0.00102508,3.68567e-06,0.00196752,0.00102508,0,0,0,0,-0.000137456,-0.0671749,0,-213.689,-104430,0,0.0065,0,0.00125
4.56136,0.00012742,0.00100962,-6.13341e-06,0.00159619,0.000882195,26.1074,-0.000871273,-0.000928746,0,-0.000248887,-0.0616717,0,-425.114,-101828,0,0.0065,0.00025,0.00125
4.7595,0,0.00102591,3.95655e-06,0.00197364,0.00102591,0,0,0,0,-0.000137653,-0.0675125,0,-213.794,-104855,0,0.00675,0,0.00125
4.57578,0.000127356,0.00101041,-5.91827e-06,0.00160209,0.000883051,26.2138,-0.000888504,-0.000933817,0,-0.000249316,-0.0619881,0,-425.43,-102252,0,0.00675,0.00025,0.00125
4.77425,0,0.0010267,4.24234e-06,0.00197975,0.0010267,0,0,0,0,-0.000137326,-0.0678477,0,-213.092,-105280,0,0.007,0,0.00125
4.5902,0.000127294,0.00101116,-5.687e-06,0.001608,0.00088387,26.3202,-0.000902243,-0.000939306,0,-0.000248789,-0.0623023,0,-424.137,-102676,0,0.007,0.00025,0.00125
4.78895,0,0.00102746,4.54251e-06,0.00198584,0.00102746,0,0,0,0,-0.000136465,-0.0681793,0,-211.574,-105704,0,0.00725,0,0.00125
4.60457,0.000127237,0.00101188,-5.43979e-06,0.00161388,0.000884646,26.4259,-0.000912241,-0.000945196,0,-0.000247291,-0.0626127,0,-421.215,-103098,0,0.00725,0.00025,0.00125
4.80351,0,0.00102818,4.85639e-06,0.00199189,0.00102818,0,0,0,0,-0.000135073,-0.068506,0,-209.243,-106123,0,0.0075,0,0.00125
4.61883,0.000127187,0.00101256,-5.17711e-06,0.00161972,0.000885375,26.5308,-0.000918253,-0.00095146,0,-0.000244823,-0.062918,0,-416.669,-103516,0,0.0075,0.00025,0.00125
4.81791,0,0.00102886,5.18324e-06,0.00199786,0.00102886,0,0,0,0,-0.000133157,-0.0688267,0,-206.115,-106537,0,0.00775,0,0.00125
4.63293,0.000127162,0.0010132,-4.89978e-06,0.00162544,0.00088604,26.6343,-0.000920078,-0.000958036,0,-0.000241396,-0.063216,0,-410.537,-103928,0,0.00775,0.00025,0.00125
4.83208,0,0.00102951,5.52197e-06,0.00200373,0.00102951,0,0,0,0,-0.000130727,-0.0691395,0,-202.206,-106944,0,0.008,0,0.00125
4.64681,0.000127181,0.00101381,-4.60899e-06,0.00163098,0.000886631,26.736,-0.0009174,-0.000964895,0,-0.000237032,-0.0635051,0,-402.863,-104334,0,0.008,0.00025,0.00125
4.84596,0,0.00103013,5.8703e-06,0.00200948,0.00103013,0,0,0,0,-0.000127786,-0.0694437,0,-197.527,-107343,0,0.00825,0,0.00125
4.66042,0.000127231,0.0010144,-4.30653e-06,0.00163634,0.000887172,26.8357,-0.000909722,-0.000972145,0,-0.000231734,-0.0637859,0,-393.634,-104732,0,0.00825,0.00025,0.00125
4.85952,0,0.00103074,6.22536e-06,0.0020151,0.00103074,0,0,0,0,-0.000124321,-0.0697397,0,-192.048,-107732,0,0.0085,0,0.00125
4.67371,0.000127292,0.00101498,-3.99467e-06,0.00164154,0.000887687,26.9328,-0.000896643,-0.000979899,0,-0.000225462,-0.0640591,0,-382.772,-105120,0,0.0085,0.00025,0.00125
4.87267,0,0.00103133,6.58425e-06,0.00202056,0.00103133,0,0,0,0,-0.000120301,-0.0700268,0,-185.723,-108108,0,0.00875,0,0.00125
4.68662,0.00012736,0.00101554,-3.67603e-06,0.00164657,0.000888181,27.0271,-0.00087794,-0.000988149,0,-0.00021817,-0.0643239,0,-370.2,-105497,0,0.00875,0.00025,0.00125
4.88537,0,0.0010319,6.94381e-06,0.00202582,0.0010319,0,0,0,0,-0.000115704,-0.0703039,0,-178.521,-108472,0,0.009,0,0.00125
4.69908,0.000127433,0.00101609,-3.35362e-06,0.00165141,0.000888654,27.1179,-0.00085349,-0.000996846,0,-0.000209826,-0.0645794,0,-355.866,-105860,0,0.009,0.00025,0.00125
4.89753,0,0.00103245,7.3005e-06,0.00203087,0.00103245,0,0,0,0,-0.00011052,-0.0705699,0,-170.425,-108820,0,0.00925,0,0.00125
4.71102,0.00012751,0.00101662,-3.03075e-06,0.00165603,0.000889108,27.205,-0.000823257,-0.00100593,0,-0.000200415,-0.0648244,0,-339.741,-106207,0,0.00925,0.00025,0.00125
4.90912,0,0.00103298,7.65055e-06,0.00203568,0.00103298,0,0,0,0,-0.000104745,-0.0708234,0,-161.432,-109151,0,0.0095,0,0.00125
4.72239,0.000127589,0.00101713,-2.71092e-06,0.00166042,0.000889541,27.2878,-0.000787272,-0.00101534,0,-0.000189931,-0.0650579,0,-321.824,-106538,0,0.0095,0.00025,0.00125
4.92006,0,0.00103349,7.98997e-06,0.00204021,0.00103349,0,0,0,0,-9.83851e-05,-0.0710628,0,-151.551,-109464,0,0.00975,0,0.00125
4.73313,0.000127669,0.00101762,-2.39796e-06,0.00166454,0.000889951,27.3659,-0.000745625,-0.00102504,0,-0.000178388,-0.0652783,0,-302.136,-106850,0,0.00975,0.00025,0.00125
4.74317,0.000127748,0.00101809,-2.0957e-06,0.00166838,0.000890335,27.4389,-0.000698471,-0.00103494,0,-0.000165814,-0.0654845,0,-280.726,-107142,0,0.01,0.00025,0.00125
4.93029,0,0.00103397,8.31471e-06,0.00204445,0.00103397,0,0,0,0,-9.14551e-05,-0.0712868,0,-140.809,-109756,0,0.01,0,0.00125
4.16439,0.000207908,0.000955672,-2.26171e-05,0.00126977,0.000747764,47.3816,-1.12532e-05,0.00013887,0,-3.98068e-05,-0.0461957,0,-78.8375,-89979,0,0.00025,0.0005,0.00125
4.16374,0.000207287,0.000953053,-2.25289e-05,0.00127216,0.000745767,47.3711,0,0,0,-2.13158e-05,-0.0460631,0,-42.3838,-89959.4,0,0,0.0005,0.00125
4.16618,0.000208549,0.000959417,-2.27479e-05,0.00126727,0.000750868,47.4105,-6.56369e-05,0.000164381,0,-7.24496e-05,-0.0464144,0,-143.046,-90033.2,0,0.0005,0.0005,0.00125
4.16888,0.000208457,0.000961076,-2.28067e-05,0.00126778,0.000752618,47.4532,-0.000144295,0.000174452,0,-9.87609e-05,-0.0465644,0,-194.618,-90114.7,0,0.00075,0.0005,0.00125
4.17237,0.00020826,0.000961956,-2.28347e-05,0.00126925,0.000753696,47.5078,-0.000220307,0.000179668,0,-0.000122254,-0.0466855,0,-240.62,-90220.2,0,0.001,0.0005,0.00125
4.1766,0.000208109,0.000962613,-2.28575e-05,0.00127102,0.000754503,47.5735,-0.000291078,0.000182774,0,-0.000144574,-0.0468016,0,-284.273,-90348.1,0,0.00125,0.0005,0.00125
4.18153,0.000207994,0.000963243,-2.28802e-05,0.00127302,0.000755249,47.6499,-0.000359355,0.000184947,0,-0.000166337,-0.0469251,0,-326.756,-90497.3,0,0.0015,0.0005,0.00125
4.18716,0.000207898,0.000963914,-2.29036e-05,0.00127524,0.000756015,47.7369,-0.000426549,0.000186598,0,-0.000187694,-0.0470608,0,-368.341,-90667.5,0,0.00175,0.0005,0.00125
4.19347,0.000207808,0.000964638,-2.2928e-05,0.00127771,0.000756829,47.8341,-0.000493223,0.000187947,0,-0.000208632,-0.0472102,0,-408.991,-90857.9,0,0.002,0.0005,0.00125
4.20044,0.000207719,0.000965415,-2.29533e-05,0.00128043,0.000757696,47.9413,-0.000559619,0.000189133,0,-0.000229093,-0.0473735,0,-448.584,-91068.2,0,0.00225,0.0005,0.00125
4.20805,0.000207626,0.000966238,-2.29789e-05,0.0012834,0.000758612,48.0584,-0.000625823,0.000190234,0,-0.000249003,-0.0475502,0,-486.978,-91297.9,0,0.0025,0.0005,0.00125
4.21629,0.00020753,0.0009671,-2.30042e-05,0.00128662,0.000759569,48.1848,-0.000691824,0.000191282,0,-0.000268292,-0.0477395,0,-524.039,-91546.3,0,0.00275,0.0005,0.00125
4.22513,0.000207431,0.00096799,-2.30285e-05,0.00129008,0.000760559,48.3204,-0.000757551,0.000192277,0,-0.000286896,-0.0479406,0,-559.642,-91812.8,0,0.003,0.0005,0.00125
4.23455,0.000207328,0.000968901,-2.30509e-05,0.00129378,0.000761573,48.4646,-0.00082288,0.000193192,0,-0.00030475,-0.0481526,0,-593.675,-92096.6,0,0.00325,0.0005,0.00125
4.24452,0.000207224,0.000969825,-2.30705e-05,0.00129771,0.000762601,48.6172,-0.000887639,0.000193978,0,-0.000321798,-0.0483746,0,-626.036,-92397,0,0.0035,0.0005,0.00125
4.25503,0.000207119,0.000970756,-2.30861e-05,0.00130186,0.000763637,48.7777,-0.000951609,0.000194579,0,-0.000337982,-0.0486058,0,-656.625,-92713.2,0,0.00375,0.0005,0.00125
4.26605,0.000207015,0.000971688,-2.30966e-05,0.00130621,0.000764673,48.9455,-0.00101451,0.000194926,0,-0.000353246,-0.0488452,0,-685.347,-93044.2,0,0.004,0.0005,0.00125
4.27753,0.000206913,0.000972615,-2.31008e-05,0.00131077,0.000765702,49.1204,-0.00107601,0.000194948,0,-0.000367533,-0.049092,0,-712.108,-93389.2,0,0.00425,0.0005,0.00125
4.28946,0.000206814,0.000973532,-2.30972e-05,0.0013155,0.000766718,49.3016,-0.00113573,0.000194575,0,-0.000380787,-0.0493454,0,-736.81,-93747.3,0,0.0045,0.0005,0.00125
4.3018,0.000206721,0.000974438,-2.30846e-05,0.0013204,0.000767717,49.4888,-0.00119326,0.000193738,0,-0.000392946,-0.0496043,0,-759.351,-94117.2,0,0.00475,0.0005,0.00125
